Item,Type,Description,Product type,Main type,Items,Email (from Contacts) (from Customer) (from Orders) (from Items),Customers,Unit price,Picture,Weight (g),Material,Comment,Unit cost ¥,For sales,Costs proposed by suppliers
Ceramic - TROO Ceramic 750ml Matt White,Ceramic,TROO Ceramic 750ml Matt White,['Repeat order'],Ceramic,,,,,,,,,,,
Glass - Legend 1750ml,Glass,Legend 1750ml,['Repeat order'],Glass,"['recesuS7LoPqfAfRN', 'reccRlgj0yAjZciF3']",[None],,,,,,,,,
"Glass - OASIS 330ml_Still
_Option 2",Glass,"OASIS 330ml_Still
_Option 2",,Glass,['recGU5C1bCiAjJ5mI'],"['Gopinath.Murkoth@nfpc.ne', 'rohan.dsouza@nfpc.net']",['recg8gXE9BuMWh6oF'],42.71,"[{'id': 'attauqll6DM9QFnkw', 'width': 3042, 'height': 4000, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/YR0R8YvkdMFWeGWTp4R47Q/lcTcSHpMjU0jAAUbXIAwiGECU_6ZlryeOMbRmnjk4Lo-OhOv4MW5XCncifcaa9lmr19cUKX1bVkyjVdvvcoqr4XH8oRmgVxi_mn2cVSC7mri9dVuQRuM-ylvLlBMfPFX/XRTEK8Zay4v4YER_Gk5i7KCP0SsV_vAz8hFULju3xf8', 'filename': '330ml_Glass_Bottle_Still_Option2.jpg', 'size': 389397, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/ba0plqWinR4yr3dvXxM2WQ/DaSvORTmwsKfFipVKsogvVEfCUQLIbu0y1bdLL2l6WMHGqfPVM3I_BZnv0rt_RpDM8FqZC1EYZz39C0a6nTQfw/P4j9-_Y7mcZdpdKTb1YlRkhvL9rKvY6EOsVgFwCcAZs', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/YpFmVWVm_NVTyXPQzvuuVQ/TTVuBitp-UCRiSzJ5mkjsfw5LxaDdqe--2cGIgDKu5S1cOViCo6wDxkRp7zAC17wAnkmxOdkblJydoydIokQYA/24q_OXreeW2iH1uEzNrZQPm4g6PFy9fktTnTcp-UYeM', 'width': 512, 'height': 673}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/4lFjV9kGgnNKo0UpGLiYAA/QJj11nRJI7FJqavVWttUGtME3Q_fu8-mW5yOz5nqnQKpdyna3p_aXBtpMY7ILmZX7_PKgYNWDhTqw5T1y1KrnQ/Png7A70mEPwEVKopuE6l07p-zMnMlKiiwoRG00MEXKs', 'width': 3000, 'height': 3000}}}]",320.0,Flint,"Sample order include naked bottle, serigraphy, shipping carton, and Fedex Fee",,,
Glass - OSV_750ml Bottle,Glass,OSV_750ml Bottle,['Repeat order'],Glass,"['recwkJdFm9ZGIZn7l', 'recp0BEre8OOxGEbb']","[None, None]",,,,,,,,,
Glass - CENOTE MATT BLACK SPRAY 700ML,Glass,CENOTE MATT BLACK SPRAY 700ML,['Repeat order'],Glass,,,['rec6HZLAzIYFQUUuw'],0.91,"[{'id': 'attjcM41GDuQeh7Bt', 'width': 1280, 'height': 1706, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/uaNY0tf-xtOEPfkYPyt_aA/ZbYTdXzHTx6LqGp_Pu_KKATX93eNXgmN58k73pNQgtBxUslnrXzMwGVggnS1PkVdV66q5q_TnLp-02YSaiPCtw95gbPq_folvkvkPCmGNaH1EvD2u_I7KnGHB7ZrdB-2/YRXSKiedahi4WMRNuqvrkI7ozdYBYcEJ6U5_yS2Fj1U', 'filename': '4c92bfdd27e85bf65c99a6c0a63616d.jpg', 'size': 735183, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/OW26dPk7w7CQx_crPs4jIA/1z8_CuEaenJ9eaNxzGKIN6Lr1U_Ma61bN93tn-mqTXNMEA_XdsGdOiNAm77agvaMibVrzPWlvSILQew2h794aw/V_yPCa0XL1psz6ux3X3UIAmKfgDYIbskdcPOhDmD2II', 'width': 27, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/anfCBO21HVzNa_M7sw2h9Q/6GcY_-GCo3gEQLc1gt6U1vKPPgzsbOu4a6YsgoS9pZqZTx6uCGADuMM0wzFUrXh7tD77PZFm0TMbbbB0U-eTUg/9aDcNwY11QTDmU26L_-zu9YHbOA1GW9TXyVmDSmP13k', 'width': 512, 'height': 682}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/UANa6VFdRh31MO-TOTF1Wg/kPClsdhERHuDGogvnfwfOLkOe74ZnVz2EG8o9aHsirPRkm-MekaFg6JwNmZtzrUqN-nUbSc7GZzhUSM1aLf6hg/h5rOJExfbs8yjaKGuURL9g3SlONddXSwdAKf-DpEGzo', 'width': 3000, 'height': 3000}}}]",961.7,flint,,4.75,,
Ceramic - KAH Ceramic 750ml Black,Ceramic,KAH Ceramic 750ml Black,['Repeat order'],Ceramic,"['reczgHa3NiQHNAZoa', 'recusLqZPv1bp41tw', 'recRU1PVZcm4WdUKU', 'recf40mPKfnRzNX2d']",,,3.16,"[{'id': 'attK0FwIQDat2kCsR', 'width': 406, 'height': 892, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/MJNuyQVfsKJyig6bd40GNg/qi7HpXoxGnvVL3GSCARwLRmciw8pmGKr276LLmHqbu7x0vxql_DLFG-ivQJsdxe2HhJc7RSjlluNrE0I6gkOOwCJC6AtjgIhi-LelYp7pjU/YWYwcZUwuB0Rqaiq4DblGnOBd-BSdwYRKVut3j3BeoY', 'filename': 'image.png', 'size': 500231, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/r-zK0KnFDNt1y1U1UsJJeQ/F8upcbYQLb-hohEVfVS9SA0hnNnYwPWyNvVWEACPKhD8iygnkaYQ0c8zvDLC89fwWO6dYsjQIb3YoVt4zmCuXQ/X4PhwKDMNzi6o7gy0GQTCBMB-rEqjWuX57VVzr1PZ9c', 'width': 16, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/dTmVw8lMnC_oJE67SpcHMQ/2yNjRWXgkC8G8GImjVZj5YbflTtx_DeLAIou1v9_vVkFsk4ZV-1WrUIwhUrBF9BJp08VwUyCVlf_8gSVlKQLFQ/DqIqMCWK-qHEMy2Si7pKfWK8uFM9cYWnCypP-_IRqlk', 'width': 406, 'height': 892}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/fA9iCx96K4FX6NtVNPNgvA/hzjowGn4rj5-Q6mbDOI_4VQ8KNIYhm6hJYy07T-dwzRP6yNP2n-S75EGob1vmXoCWplKhBJBZwXWpiPz55oUqQ/tm37HN-PXllss1NoKeDQgU7J2kDqhBMqHJa_FOmstQ4', 'width': 3000, 'height': 3000}}}]",679.0,ceramic,,14.96,,
Sampling / Mold - Sample / Mold,Sampling / Mold,Sample / Mold,,Sampling / Mold,"['recbP79ODDPpbatya', 'rec0IQ6aUHJqWcQkd', 'rechhof1CVLGk9H0I', 'rec2yVQ6aUhI7fPHd', 'rec0mYgJ4DtPnvdeA', 'recPXSpmNvqz8xjOc']","[None, None, None, None, 'carl@heavensake.com']",,,,,,,,,
Accessories - TROO Ceramic Matt White 750ml Caps,Accessories,TROO Ceramic Matt White 750ml Caps,['Repeat order'],Accessories,,,,0.0,"[{'id': 'attJphsDkEc5ZpedS', 'width': 1920, 'height': 858, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/IBqJdxQmqx7Q3TSi53_bEA/olKSWfDHf0mcnvRl5ZrAP6U6CH8M0koAQ5X9CXUc2dWigMwK7s-Ys8DDc3xF_509MJtNI67QtVWvGfjcfSLUf1msMEangxX-WCXnSjA_kKH_2zP8spG1yLwx4vTr5GCK/cGTJCGlYjOKqpEHnTqafifseFwAEcXmgb0tjarPPrbw', 'filename': '7b71acdb497e8f4bbf3b19549503286.jpg', 'size': 1081055, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/tiW2ieQEvWDREyfddtDoqQ/fqeHrFpuvWCQ25SozLSw8dEZRykzj7feP0oMLBMt92luHKuNEjr7c31u2G9aw4BFUdOuBcoveZCDD9DvNfbR4A/ln1hy0FZ26xUaHqUR-bRf7t07YX0P6I6MrVk2_4uTkw', 'width': 81, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/MyPMveS6MLawY90FrgZBHQ/wNKT5fwEs3Pxtqybg-MaqHrfD3pWfxTMOYc-LdaC56R8nhW4HGT0HzaiveFdwIKGVYEDAZnLx2LDSSWQ1KRogQ/3uxcqgUWXWLHVgIGyWf5Ft_aW1J_we6ffZEfmWILSJs', 'width': 1146, 'height': 512}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/44x95CcJeLcMBadRz6J_Rw/vlll1KqzlkIFZXmEiPhXVrFzXejhnVcfdLkYGLBwYYoE_bVtUVEx4H_cIaE0QKAOvFRu374ltOUBbsq08kLBEQ/AZGH1tB5aJfcpi316LA5Y0QDVDvg9uwrbMWW-HpK5Rs', 'width': 3000, 'height': 3000}}}]",40.0,"Ceramic, Plastic, Synthetic Cork",,2.2,,
Ceramic - Mandala 1000ml Handpainting bottle+ cap,Ceramic,Mandala 1000ml Handpainting bottle+ cap,['Repeat order'],Ceramic,"['rec5rrY7taBXASXcT', 'reciq9hOMUX3SIqnO']","['Craig@tequilamandala.com', 'Craig@tequilamandala.com']",,8.46,"[{'id': 'att22NPTIP17kiKWK', 'width': 376, 'height': 489, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/zXmPJJcL2dyyiFwJxf5_TQ/rIhhrSirchM0cIeI2DdbewmDByakzRDtY0Fep-K9GhkDRiUU3vXzzXN4s819RN5spky3sHMG1ifyWrkv_N01Z7Whdn7a5dc8mCwvOCpfluw/_N3xefH4oqRJCOSiwqRkNKuT3f8hooYLilsRQ2SDnMQ', 'filename': '1690337184204.jpg', 'size': 479238, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/_NB1kB1WQ2MEMdU3RHwMVg/ABiUqaa2MAmQfyIUdbNSguusY1ggpYeOSN8jjJ-hmayTdhdzzkBKGiafWRWhyz-mw0s-eSFEdSREo0EIBKHmAg/pETVHaoRK4aQRyCBNCfveuobgz1_CLUEov6tANnoOMo', 'width': 28, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/vTZKnGMCleFfMAG_E5eSgQ/jS84iUolVVCXZPjA-MmNnGZVJRfpVLvA9ZIIwU6OonkIrsgV5EuD2UsaD30S-hWtLA1ztE3GRMkt1lzNXEBAKA/lPjz02Y1ih3rmggqVtRPidLA79XIuZtg-9B4EXPHt0s', 'width': 376, 'height': 489}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/s2BB8M3BtpPPgpocpXdNig/dBHPrSrUaSLYtuOLlO0dmWzXLYQpSe9vLGgMbI9unbE24yAWmSrf7G0psQOzuJOIcJYb2L-FRildxR8rDv_O1g/lQfNdYAXbRJC1xMCbiQjcc4MpnGNP71tAt6axN-7-0w', 'width': 3000, 'height': 3000}}}]",,,,46.2,,
Accessories - Yamato 750ml sticker,Accessories,Yamato 750ml sticker,['Repeat order'],Accessories,,,['recyN9PCcdYScELcF'],0.01,"[{'id': 'att3oQRnydklE294H', 'width': 170, 'height': 166, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/pEdXWARcyryndoZA89gy-A/wltXL6erqwJ11xdC4qtbpV2SIxjIS86crNaCsEiiTRE6idLiq1ZsbXi2TnZbII-PcAj8cuK3lPhnAyFL2bbfIGMF093g22ZHSq57hJLEt6vZIEquLVQz3HxPkwtMpwbW/OirVLYfpcV0pxrcn5Uyy6DuGKHFM1nisyvWcxHJq7SI', 'filename': '4b713e910cdfe92ff057926190f6e84.png', 'size': 60172, 'type': 'image/png', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/Oz1zLShI5xck7lmM-JrVIw/JKay7R9QZuMV5WFHzmIKNASH2HOFmk9c6spVI5b6cv2wAU2nORr-qM3rPCr-bnUTdMgyF2Eg81z5HkXUuZLVhQ/KtB_tlOeg1h2ct5L9fMlE0bNQXL0LqPYZdhFlzokb5o', 'width': 37, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/f3TGydtC-ftT5f9AOf7Bfw/r-ujzCoUo0AF1eDIOKdeMyIZIjXiJ_FduVPPgCFFNRG8IJDg6QuUHWR6YWcdLSsYUsUu1Qon0pxDhEcwHdKS0w/kUC8GLJAldzBAiuX4LOD7cSC98TK_WGtR3DKiJhHlFM', 'width': 170, 'height': 166}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/33D3JY4xY1v1DMmomnaV_w/HjE31mfkcDXEp53w4wYiKyPGPJZSIK8Ayb3jk9jp856XVWtjWhK1pGwPI8LUlh5rwB-2BUyJV47LgmHweDZDZw/CvKorbLzp13McVEH0stQffie0aKSofZQDpqaAFd3OKQ', 'width': 3000, 'height': 3000}}}]",1.0,paper,,0.15,,
