Name,Select an order,Select a supplier,Order date,Upload contract to supplier,Order items (from Select an order),Phone (from Select a supplier),Main contact (from Select a supplier),Project name (from Select an order),Select an order Table_Id ,Manager (from Select an order),Manager,Total cost ¥ (from Order items) (from Select an order),Create Document,Contract fix,DELETE Address (from Select a supplier),DELETE Company name (from Select a supplier),DELETE Product details,DELETE Shipment details
7,['recRld3bO5YCSK86Q'],['recZR4ZrZ8clWMg72'],2023-07-20,"[{'id': 'attwmmbxpES2nu8nu', 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/ftrfxGvwXL-78jS7QytmoQ/aE5e0gmcM1eQgDCEWQnrvJPkXpvNdPkoiWiZUGBLnAeD_dfXIi5RTGgnB4VH-8gvkD8MHwDjLp7kRKAXwQohXNffy-OUM3knZWFRt6cXOyfnng40hZwKiJwtWcwnq4Qg/bw-9_UyEpJi4r7efkKMRm8HOW3WZDOpVWeCoLWO8YVk', 'filename': 'BBR 750ml Sample Mould - 07202023.pdf', 'size': 170374, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/YbPIXfGS83I6EXT_9wLEpQ/WNtE9nKu22R25B4436GPSpWAF0Ou_s7ku0LndAu8MgkhkLsThAfdHUEgDdXzxIq-poU8jO1vVC4-EG_kxP8rFg/AhfZExkVtypZAV7EWwe8xsd4yIaDgQIMv8-8TeMydTs', 'width': 25, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/hjcCDOhevNNnJoeie690zg/MyL5dkHV04Y-i94oHjEdhYB3_WCXrdhopFE9r1Hq45jq09QtAbZxyNjLGanDvrtEskdh6xhg7U5D5xwZpdpoVQ/In2ecbXkj9Kl2DvaIpTtLYH0DIjbeqD7CoVegackphc', 'width': 362, 'height': 512}}}]",['recWGtmNE8Psuud2K'],['13345136313'],['樊经理'],['Beach Bum Rum 750ml sample mold'],tbly4c5vUFLAP91ga,['recagrR2tsQ65ImDB'],Jennifer,[13000],"{'label': 'Create contract', 'url': 'https://app.documint.me/integrations/airtable?template_id=64f1a82b89a391a826c24705&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&record_id=rec8caIc5E0UAMZwo'}","{'label': 'Contract fix', 'url': 'https://app.documint.me/integrations/airtable?template_id=65075c3e03ee85dedbe2d3b4&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&expand=3&record_id=rec8caIc5E0UAMZwo'}",,,,
6,['rec9RnDSrkFgI8RLt'],['recitYG6Z7Mz1sMcZ'],2023-09-11,"[{'id': 'attKAG1jKZIPhtmLR', 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/lmaGIt3QnbEliJCpC8p8SA/_IoYgCOZvRhmeO2q1Tdfz_ZSLMWnhsfPFKuCsyHPQ1ZIDFAxJgI_r73bf4CrtxQgZgZLjmrWa2XD32HKphjmxlnfY5YebNTcxfgphkVC93A6E4RpclT3fdzMR8tQTObFLaRlqhXZe0zrLUd7da4-xw/pV59omOPvL2PrvKH7lZhZqH0OzM1pOYAr3_jm_qDZ-k', 'filename': 'Sausage 1000ml 6768# glass bottle Sample Mold_09112023.pdf', 'size': 199303, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/id0MpPekLho_tiQqruet3A/Mh-TR27WmUrPji5RrMHgf5AWi216ifd9JI8Js7lYqwUL_NlPVwXoQnAv2u0tf0JHKtmNFCQvbsKmDXkXUSRmXw/OKdyTMLl9sMCFnrcWiywJk3OvtBAgP6FmFn34JSapUc', 'width': 25, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/V4tOu6eO8sm8qLs3dDKFuw/fxhA3iflgmGEXbetW1jKTlqzD_hwLbV7ovpfVmLE83K6Mz0MhwiD6V-Mq3OFWB_-J6t5_Manxx1jeLPBZqntOQ/XqxFyx-owgp5foi6Djwl1reTc6G70GNeVYZMvPT1Mdw', 'width': 362, 'height': 512}}}]",['rec4jmn5K9f1PKGRB'],,,['Sausage Tree 1000ml'],tbly4c5vUFLAP91ga,['recdz8rMSFOVsz4SH'],Emily,[4000],"{'label': 'Create contract', 'url': 'https://app.documint.me/integrations/airtable?template_id=64f1a82b89a391a826c24705&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&record_id=recFC9buRncD3dBBv'}","{'label': 'Contract fix', 'url': 'https://app.documint.me/integrations/airtable?template_id=65075c3e03ee85dedbe2d3b4&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&expand=3&record_id=recFC9buRncD3dBBv'}",,,,
12,['rec9MTcHPKzGIyOUz'],['rechQcobSxBw5BMiO'],2023-10-09,"[{'id': 'attkXm6l3ORgPJfc6', 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/3wR6uhrjpT8DdOEMPQ9Hvw/OP7gcvTEsuhOosomTKxF2OfgmwLZSV0fwMD1o_IqRK_AuDVYasY0QHzd7JbLTT6a9ev6mFNzSttvVAYdgLGiLLxDy2yawvbiexuEba_kCIQA_ndbvRujWsSf8HxCeusqIznFYqdbbHGvhbLuVKXxPA/hQ0LSOA4_X4AwEUu_RgTMp8Xl3HDG8XN0rqj605EwQE', 'filename': 'Sample Order_OASIS 330ml Flint with Serigraphy_10082023.pdf', 'size': 900929, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/ko3WBcUdLltOgEjbpO8dwQ/uH_hybfPo5BemiQwmz-2yKJtOzFeJSLN77s4tcy0sKxGYTJum2hYvFdU2GY6VDYy_BhqQD0ZaLHFBicvL4Amig/1Dj5Wu8LC9aVVTlPBbBzwhD09IrQfkwAR1Wpl7JubiA', 'width': 25, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/4u-UX2EuRjfkrb_eOEXxcg/7LIyx0MDsR3nhEywzjL-28L9gRIKXpll-Spc3T45VbEKp-LXRpg-gtBUPT3hcDC97jpHT7v0MzmUpTp85GmIkA/c78kEShfNOK6B-DRqXKN9Ngc5UOUL3CwSgI2sur3-Xc', 'width': 362, 'height': 512}}}]","['recJdlqIiht6ZSmkO', 'recKdDO9z0qGCNSrD', 'recTV97D89rCo6eOt', 'recGU5C1bCiAjJ5mI']",,,['OASIS 330ml Flint with Serigraphy'],tbly4c5vUFLAP91ga,['recdz8rMSFOVsz4SH'],Emily,[3000],"{'label': 'Create contract', 'url': 'https://app.documint.me/integrations/airtable?template_id=64f1a82b89a391a826c24705&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&record_id=recGLkcDsvjuvm9yQ'}","{'label': 'Contract fix', 'url': 'https://app.documint.me/integrations/airtable?template_id=65075c3e03ee85dedbe2d3b4&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&expand=3&record_id=recGLkcDsvjuvm9yQ'}",,,,
2,['recY40ZbE8UYZ0G4I'],['reco4K9zJbW2OapH3'],,,"['rec1ARcTKqjSEbqB0', 'recrxADte5wF1tAGJ', 'recVE8NGsEH6EVy0S', 'reciFUYOLlBnBACGH', 'recPpQ1Ltj1H28Ds4', 'recD9xRD43BKfOB16', 'recw0eul5wy1rzbtK']",['18607981700'],['王磊'],['Grim Reper Ceramic Bottle 1L'],tbly4c5vUFLAP91ga,['recGlaGSFdNMbsdSW'],Lynne Zhang,[448693.75],"{'label': 'Create contract', 'url': 'https://app.documint.me/integrations/airtable?template_id=64f1a82b89a391a826c24705&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&record_id=recGuTSOEQy63xyvk'}","{'label': 'Contract fix', 'url': 'https://app.documint.me/integrations/airtable?template_id=65075c3e03ee85dedbe2d3b4&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&expand=3&record_id=recGuTSOEQy63xyvk'}",['景德镇市高新区梧桐大道南侧（丰源路2号)'],['景德镇清河瓷韵陶瓷有限公司'],,
3,['recw8mZ8FlJRgSpD2'],['recvZZ3BaxqCKaWtW'],,"[{'id': 'attEVj5hRjjWcDyN2', 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/LfjtgK3JRIUIJBMQh7NBkA/mM2NWPm2JPxcjE3FDt8aCv3hd8I5kkoHv2gtd2q8RVT5kBHcyBNI0o1NybtO9q8wnmOabf5LSjxbREgIxaCPqf2y3iR-DNQtkoxi1JKa2MlhbXkcn3b6yrIWIwRBFBub/Zg7go_xVGnx7n0LeDJLxz6ezslPoQmGC2zlJg95N8D4', 'filename': 'Supplier contract - 1695008402543.pdf', 'size': 376329, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/EicqPaQTkU0tDjyWkLVuCg/usJLmYv50HcliNB3V6P8UkCcaI8N2h2yXEgptWGfnFHM88mIGDv--gMxT1rbg1FA0Bd2rGWOEphi6iD-AjeBmg/U5ixENpCOSe82y-6UwWisWqYmxvhzuoxFLlnS79QP34', 'width': 28, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/GyZaAu_1fQxxx4asma7d3Q/kefJVzCiw_Y0RMWMKBXiJz-QAw9kjCT1bC6y-I5nZcVFnR2LuUhIzh310aIgZxhMzuACURdHIkkYasAc0PHzRg/-PUkwEyEVjrZOm5D8aoTPxPnBpBAtdHMGiQeJpWKZCo', 'width': 396, 'height': 512}}}]","['recLQpqwzxPZRY6pD', 'recj4GQwJmRtynFAZ', 'recSttiJyW7Mlya26', 'recqxHR7ZQcmJ6XeI']",['13907989673'],['饶胜亮'],['LA Cofradia Handpainting 750ml Blue and Coffee'],tbly4c5vUFLAP91ga,"['recGlaGSFdNMbsdSW', 'recWSXJGmQ0Xe4QBT']","Lynne Zhang, Cindy",[420424],"{'label': 'Create contract', 'url': 'https://app.documint.me/integrations/airtable?template_id=64f1a82b89a391a826c24705&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&record_id=recLp3f8rUZhAy4HX'}","{'label': 'Contract fix', 'url': 'https://app.documint.me/integrations/airtable?template_id=65075c3e03ee85dedbe2d3b4&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&expand=3&record_id=recLp3f8rUZhAy4HX'}",['景德镇市昌江区岚山路历尧山坑'],['美玉陶瓷'],注意：1.口部必须光滑竖直，避免倒八，2.手绘工整，根据确认样。3.胚体表面干净整洁，不能有色脏等异样。,含税，10月底交货直接打托发海运
13,['recCpRRAJLkRgwjBM'],['rechQcobSxBw5BMiO'],2023-10-09,"[{'id': 'attZVkAmtHo98GOxL', 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/C1e2ncZXBqnBV1N2xamUnQ/Amljt5ujrtgLjZEovQQ3oSoq372fS3m7rU5NjGd2ffFxsWpbExuZD_6Sdp8X7AjnNhtYdm9oyaHgPnOdv4a510f79gnJ07P2tPonEZyEHLuYhdfrLEiV2ZXxxo_02k3PHTvz8UM3XfWSMAhPYuCq2g/LIZ6ps6SKQO2OgM6tne9bEuTmqGDiGXb91Dy3i_kmXM', 'filename': 'Sample Order_OASIS 750ml Flint with Serigraphy_10082023.pdf', 'size': 1046487, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/WqIRf8zrMs4V_G_-jPDW9Q/hUoGjQ3VnGXSz4o08m1QVskisPoN3URXvDP3KmHRdIp6uC_EBI4_NADg1-zUEtYABPViVtAIzYj7cDWs9WivOA/bgEgCDl_bdknZ3zbOY34XTssYsLYcOghoiFBdd0X-HQ', 'width': 25, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/e6OAZxYYhzovaT5HM_6FRg/XasjdObPIC1Ou5zlsLmlbX7Tux2rVbz-Os6B006fGN5FVe3zOazrYWkZ4tqrEgQ2pQTux2l1UsCjP_4cilg_HA/Ix_AoLqMobY-k2kaF76IeYu24GXTv_FBsAUKVorcA9U', 'width': 362, 'height': 512}}}]","['recXzyRaL1OZWwwCm', 'recMarvNjFMIjcCAb', 'recjAYNmaMJkP4ozm', 'recW4OSBdVTaAqOJ1']",,,['OASIS 750ml Flint with Serigraphy'],tbly4c5vUFLAP91ga,['recdz8rMSFOVsz4SH'],Emily,[3000],"{'label': 'Create contract', 'url': 'https://app.documint.me/integrations/airtable?template_id=64f1a82b89a391a826c24705&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&record_id=recWyLKSePEdSOqTI'}","{'label': 'Contract fix', 'url': 'https://app.documint.me/integrations/airtable?template_id=65075c3e03ee85dedbe2d3b4&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&expand=3&record_id=recWyLKSePEdSOqTI'}",,,,
10,['rec3SrKM8hPWJR8cX'],['recZR4ZrZ8clWMg72'],2023-09-12,"[{'id': 'att9EzuM6FF02v8q7', 'width': 1696, 'height': 2588, 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/183HDwNcA_yV__sqKrFu1w/SqM0N9uQcGKuikV_c1URGBpidGqXXbHwUDmnQQCuJrz_-XAiNIwCf9sDHL8bxXYvcM2OetM0wBVybiE1aCG-DlOu4KjxalwS69Nho2mOM2vx_Sw4OMB6hEKaI6-H1sQ3/JitoOfEvsOLBBvSPd1l2SPJ6bStGxT-E5z3bliWBrzk', 'filename': 'smiling wolf sample mold contract.jpg', 'size': 563683, 'type': 'image/jpeg', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/XBAz8Eje9O5KvB-F3t4qRA/BtRHub2GZZtV_9GZQerRtGvVzEMcYzaw2ElfoF1aevvfMnCffJoxbupk00mmswuyRJen6wDAWzfL_jjrkbL_DQ/ZZuEIR-iCxUNHzlROzzFVI9JitXF2Qd_8-E5118sclE', 'width': 24, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/OzDUWK2jcSDk8rgHYeUFyA/rkv-pqV9Sii-ckJxuCcBI4a6Y8LLuzI4-A4nFYWnzb1Fg0RafBvBl1lX9mBkLrIs5YziIDHUhH2JWVxoCvouew/K1BtB2MLVEHuiRmwQgZIzazooWg0_ZYnoa_gTiBfEgQ', 'width': 512, 'height': 781}, 'full': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/QElxI4sZEUtN9uILqt2oSA/x7hsYjiCARwWsMTw9uqPZlq8EantjwIiQTtUGvBvCIm7r3KJ8W_W9mqTZrQlHSPsfHFd2AnT9h8dEf48eDY6jg/8QKm_fnoA5JGzLDDls8PJSSWph7lXgRTmoDfZw8gCV0', 'width': 3000, 'height': 3000}}}]",['recm1DPFbvt5JYxIZ'],['13345136313'],['樊经理'],['Smiling Wolf 700ml_Sample Mold'],tbly4c5vUFLAP91ga,['recTp2FSo5HEaeXeJ'],Penny,[7000],"{'label': 'Create contract', 'url': 'https://app.documint.me/integrations/airtable?template_id=64f1a82b89a391a826c24705&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&record_id=recZ4NRRfXZ6y41uC'}","{'label': 'Contract fix', 'url': 'https://app.documint.me/integrations/airtable?template_id=65075c3e03ee85dedbe2d3b4&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&expand=3&record_id=recZ4NRRfXZ6y41uC'}",,,,
11,['recMJAeMG7xiBrOng'],['rechQcobSxBw5BMiO'],2023-09-15,"[{'id': 'attSsikNquOLfhCtD', 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/MJiYIOC3rqVnNOFCwJMDHw/yBItz0vXKo5t_o9LvKp5JNJ6uitMHwVRqbeseFdhI2iQhf2To1v_aufXr4y8XNEWcDY2QgKrzBQIv84f24vZ-1e9s2Ioh1h1ur40C9x_khwO4_uN-O35suhSrRZ2-M8GWgqjeh2onKSFt4gGJB6gTg/abNo4QH6CWegfloXPcxyrhugk9uYZ7UIvPqayWs2OP8', 'filename': 'Chris 375ml flint bottle  Sample Mold 202309152.pdf', 'size': 251790, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/8XzbQmo08em3EAWvVOJPTw/Vnur3uC-m-u7zUmopz3oBoQGIi_BXti-X-h6biNiNAO8rhLYLnb28QYXkLxqVX0KWw6ACRRXjpQkZATQ7TDnbQ/GjfJDCXoddyWm85CDf-qJ7GbwPcw79dHVkCUxIMFNTk', 'width': 25, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/kPTN53h1sMj36UCjcbvCfg/_TVboNjJao-vGzhkJ6unr4Ys9qoSKaqykzuHTS-FW__CS9yQ-hnajn5W4LiuG_NE7Rixoa_WgYBcLtn-0FK-3Q/3TMltSVphOte8okDuM7uGoe0u03WqabBeMZEMpfC_0s', 'width': 362, 'height': 512}}}, {'id': 'attJW1teT56etGGWO', 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/0h4ewRdev-A6X7W-FQ9n2Q/6pmxgiRmoTiyfv8V23RUJnmskfQoB5xqAnJorqht7fHJ4ER6nwoAzjTy8zEu-b4oMFNVp4SUMB215gFqzFARvC73FM_ZtgydJi3zo7t7YMZgUZEyXsn5E7sypgS0CSjJn1Cfih8bTlq3HEu2-uBcdQ/BW3U5DS1vwPEHQaX1qDDRupZQn5hnClYuXdtkDqC8BQ', 'filename': 'Chris 750ml flint bottle  Sample Mold 202309152.xls', 'size': 1404928, 'type': 'application/vnd.ms-excel', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/pLAQfwqQgVAukI_YSNlzcQ/OR3o0oYv0eyvo7kZ1RZl5bkzdTyGB3-3oMZ6rnzCjQ2iNsA9R-qzqJOV5qVhB64HUUlhG7quh4FpqmzsWUp1z6iRUsFah8n72gZCNP3nf9Y/HE7CvYagHk53rhQUxVuSTMqIYFU4bAsOYlGAm-lkgaY', 'width': 32, 'height': 32}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/wORTQjwk33_SXFZ_Y_VlqQ/kuMSPxCTUEUtt-CqraqnikZoRpmR2hljwiSu1GTuoIwYrmOeeNd10ibU36nJWSDObhpB1mB3B3OI5PysFcXXMCsxFf-1p2e0qXEplpio-i0/B1VVyf0E20Btlwm_8yuoRsvgQERKJ4_UA1dKFut7ktI', 'width': 320, 'height': 226}}}]",,,,"['Robert 375& 750ml glass bottle, mold']",tbly4c5vUFLAP91ga,['recKZMjYa31Bls65S'],Vicky,[0],"{'label': 'Create contract', 'url': 'https://app.documint.me/integrations/airtable?template_id=64f1a82b89a391a826c24705&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&record_id=reccjkFhGYS4uL456'}","{'label': 'Contract fix', 'url': 'https://app.documint.me/integrations/airtable?template_id=65075c3e03ee85dedbe2d3b4&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&expand=3&record_id=reccjkFhGYS4uL456'}",,,,
5,['recYG7mLNmhM7nKHg'],,,"[{'id': 'attXep1vbvipATonA', 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/OoZhuWLIM2WGTsLnOVMgIA/G20vxSP6SQ9AhHh_pmO_9YfyM1NyCvA43XWBLOnbtmad7wkx-KsCuA4eK7CYIlzuX9sAy69iOT8GZrJ3jINnwVtidOILAo1H6QOO_uHOoNwKRf-YiWUr84fFrIGiDRez/AiTmpiRYNc4ztydsihBAg4c1lY1SdyIBfjLi2QYxXPY', 'filename': 'Fix Supplier contract - 1695346753650.pdf', 'size': 730668, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/QpUrpfLT1CRF7VSE0gbHeA/BAv_jm22f9fVSitfz_HwwsfQTJOItVjBK_Rh-nUSjtouZ-xmf4FXnt19DqXrDhv91mmFfzOLfZposnPVrImlDQ/5nGAf0OV-5AKjGcUZd3DyHUZUucmFrtSfJ7vvcdLeP4', 'width': 28, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/5S6qjwxFwyMQlNHhI5k_mA/uA14A78Nfv1kxH1iLTuqx4V3nXeaG5g4tVvIYWXAR32ob4LzEZySU3Wp_tyrRR-HlTC9C018mVbcWz4ODK1bow/JWiPDDZMKGoGGIKmj_e9d-JtztFq0eOWR5chnv6wa9Q', 'width': 396, 'height': 512}}}]","['recS7VVOV8WiBkPfF', 'recIT1WjbLeha5vp1', 'recum6tvhDqiR3bxh', 'recrSFOTMZHgQnMKM', 'recG35CPxauJ6XCbr', 'recz80vBcvOz3Cj2M', 'recg0fyd99mMbKxP8']",,,['Gun Powder Blue DGIG Ceramic Bottle 700ml'],tbly4c5vUFLAP91ga,['recGlaGSFdNMbsdSW'],Lynne Zhang,[652270.8],"{'label': 'Create contract', 'url': 'https://app.documint.me/integrations/airtable?template_id=64f1a82b89a391a826c24705&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&record_id=receY6w1PLivlrYFQ'}","{'label': 'Contract fix', 'url': 'https://app.documint.me/integrations/airtable?template_id=65075c3e03ee85dedbe2d3b4&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&expand=3&record_id=receY6w1PLivlrYFQ'}",,,,
8,['recRld3bO5YCSK86Q'],['recZR4ZrZ8clWMg72'],2023-09-04,"[{'id': 'att7dwQ1gVeyWGMWp', 'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/Fb6drJlI2mvwUQL7S33mkg/uZ64H57yQmh06SuZxy_qlxqQNcNo2vv1j9sV423JoTGUBnLrztUm1yN7c-HwWjGGYQa_SPvML2MveAVzhcwopCkTWpZtXwTdw05So-MSOyqsG24UIjn7iBm2sG3PU72y/Emm3Ugpdn9hyMwqCrdYjXZt_i2JxMS2lObUpsYo44bM', 'filename': 'BBR 750ml Sample Mould - 09042023.pdf', 'size': 171294, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/R7nMGHOoPd0JbsuATkWf1g/7tC7mCsPOolcneuMe9nubSc8rOOGwVK9uPuwb9J3pBCxFYHvcEV29ZcSKOh_oMXyrERUaUVXjmZPH8MtKOTOSA/YKfLMPs3YJscC5DpMFNDyV9OGhYwZJmkOlHEcqObYGE', 'width': 25, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v1/21/21/1697198400000/RhQ4ZXIqpHILQA95mayLvQ/RHKutwsBV08D0l6-gWyMDTipPuPF4xtYH7Ebw3Jiw9Lp-qyHZjfmC-v6Kbu69xj5RJcvFjmn7qcDCWirCjAquQ/qo-lXZ1Erdoq_ErngCWoCcEUj95bA_zNZggvj1IzP3c', 'width': 362, 'height': 512}}}]",['recWGtmNE8Psuud2K'],['13345136313'],['樊经理'],['Beach Bum Rum 750ml sample mold'],tbly4c5vUFLAP91ga,['recagrR2tsQ65ImDB'],Jennifer,[13000],"{'label': 'Create contract', 'url': 'https://app.documint.me/integrations/airtable?template_id=64f1a82b89a391a826c24705&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&record_id=recghXW9DddO560ya'}","{'label': 'Contract fix', 'url': 'https://app.documint.me/integrations/airtable?template_id=65075c3e03ee85dedbe2d3b4&base_id=appfjmrH6l5m4Z82K&table_id=tblm5kBGMQg08mIej&attachment_field_name=PDF&overwrite_attachments=true&expand=3&record_id=recghXW9DddO560ya'}",,,,
